,index,cartodb_id,the_geom,the_geom_webmercator,country,cri_rank,cri_score,fatalities_per_100k_rank,fatalities_per_100k_total,fatalities_rank,fatalities_total,losses_per_gdp__rank,losses_per_gdp__total,losses_usdm_ppp_rank,losses_usdm_ppp_total,rw_country_code,rw_country_name,Continent
143,162,163,,,Mongolia,59,59.83,85,0.03,102,1,18,0.6409,51,231.767,MNG,Mongolia,Asia
144,163,164,,,Nepal,42,51.33,12,0.69,11,198,90,0.0299,93,20.981,NPL,Nepal,Asia
145,164,165,,,Namibia,97,85.83,114,0,114,0,45,0.174,83,44.533,NAM,Namibia,Africa
146,165,166,,,Mozambique,1,12.17,8,1.25,7,351,8,1.4993,34,500.073,MOZ,Mozambique,Africa
147,167,168,,,Philippines,13,28.83,35,0.19,12,196,38,0.2417,15,1797.737,PHL,Philippines,Asia
148,168,169,,,Oman,16,33.33,27,0.31,60,12,28,0.3901,30,654.718,OMN,Oman,Asia
149,169,170,,,Lesotho,135,124.5,114,0,114,0,135,,135,0,LSO,Lesotho,Africa
150,170,171,,,Lebanon,78,72.33,26,0.33,54,15,110,0.008,108,6.651,LBN,Lebanon,Asia
151,171,172,,,Marshall Islands,135,124.5,114,0,114,0,135,,135,0,MHL,Marshall Islands,Oceania
152,172,173,,,Montenegro,135,124.5,114,0,114,0,135,,135,0,MNE,Montenegro,Europe
153,173,174,,,Rwanda,110,97,60,0.09,68,10,130,0.0001,134,0.025,RWA,Rwanda,Africa
154,174,175,,,Qatar,129,110.33,114,0,114,0,113,0.006,94,19.273,QAT,Qatar,Asia
155,176,177,,,Samoa,135,124.5,114,0,114,0,135,,135,0,WSM,Samoa,Oceania
156,177,178,,,Seychelles,135,124.5,114,0,114,0,135,,135,0,SYC,Seychelles,Africa
157,178,179,,,Gambia,135,124.5,114,0,114,0,135,,135,0,GMB,Gambia,Africa
158,179,180,,,Togo,131,114.33,104,0.01,102,1,123,0.0012,130,0.13,TGO,Togo,Africa
159,180,181,,,Trinidad and Tobago,135,124.5,114,0,114,0,135,,135,0,TTO,Trinidad and Tobago,North America
160,181,182,,,Tonga,135,124.5,114,0,114,0,135,,135,0,TON,Tonga,Oceania
